uniqueId,conceptId,lotNumber,din,reviewDate,expiryDate,lastUpdated
12493944-7577-453c-9bae-fbfc5b8d8fa5,7031000087105,UI256AA,01959034,2015-04-07,2016-03-01,2019-07-18
10bdf6d6-b3a5-4fbb-a91e-0e650df0e1d5,7031000087105,L1243,01959034,2015-05-21,2014-05-31,2019-07-18
8d9538fc-7323-4824-898f-4ae98fc3b32b,7031000087105,UI412AA,01959034,2015-11-05,2017-05-31,2019-07-18
1301482e-119f-4fe2-99a8-8bf8fb4378c1,7031000087105,M1137,01959034,2016-02-16,2018-02-28,2019-07-18
e5aa17eb-af13-40ef-b04f-039e165a3f73,7031000087105,UI559AA,01959034,2016-11-15,2018-02-28,2019-07-18
008f453b-c84c-4b7b-9f6c-082cc86f78f5,7031000087105,UI609AA,01959034,2016-11-15,2018-02-28,2019-07-18
6c8b4a75-0c2f-47c6-9449-9ded5fbe0060,7031000087105,N1C27,01959034,2016-12-15,2019-02-28,2019-07-18
2f27dcdf-f84a-4b40-bc57-eba67a8482b7,7431000087103,C4771A,02240255,2015-01-14,2017-06-30,2019-07-18
74608d22-eec4-42c5-849d-87ee00d1d6cb,7431000087103,C4615AC,02240255,2015-01-14,2016-09-30,2019-07-18
1ce32657-45a7-4fd0-b112-ca21098bfa7f,7431000087103,C4615AF,02240255,2015-01-14,2016-09-30,2019-07-18
80d43bd8-42bc-4f40-bf7c-d1c1255b677c,7431000087103,C4816A,02240255,2015-03-26,2017-08-31,2019-07-18
5a07a8b4-fc27-44a7-9186-eed8f1e68d8d,7431000087103,C4590AN,02240255,2015-04-07,2016-08-31,2019-07-18
21baabbe-0783-49bf-838d-eb6fe54304b5,7431000087103,C4665AA,02240255,2015-04-07,2016-11-30,2019-07-18
6665c27c-65e4-4b51-93ee-f02b91f40899,7431000087103,C4674AC,02240255,2015-04-07,2016-11-30,2019-07-18
cbc3b96b-014f-4f18-8f19-dec974981e7a,7431000087103,C4675AD,02240255,2015-04-07,2016-11-30,2019-07-18
e3f95b80-aff7-4cb7-951f-aec07d7070a1,7431000087103,C4676AG,02240255,2015-04-07,2017-01-31,2019-07-18
3ed30bdb-4c50-43d3-ac5b-c1c310e0b5b2,7431000087103,C4677A,02240255,2015-06-24,2017-06-30,2019-07-18
4aa9877e-bda4-4623-bce8-2c8d57aa0c24,7431000087103,C4816AH,02240255,2015-09-03,2017-08-31,2019-07-18
d0954083-6a27-411a-b340-a9b6589fe09d,7431000087103,C4771AE,02240255,2015-09-03,2017-06-30,2019-07-18
aa2af9c1-7ecd-4838-ab96-6e4f23f67877,7431000087103,C4816AB,02240255,2015-09-03,2017-08-21,2019-07-18
d02c87b6-5882-4938-acf4-e44dd6ffb63e,7431000087103,C4920A,02240255,2015-10-22,2017-12-31,2019-07-18
5672f4f6-bddb-46f0-8e5a-b75ebfb99081,7431000087103,C4920B,02240255,2015-10-22,2017-12-31,2019-07-18
b67ad724-1144-43ff-aca4-815152e65a1a,7431000087103,C4869A,02240255,2015-11-03,2017-12-31,2019-07-18
80b55ab9-58da-4f4c-81ab-0c4747907d6f,7431000087103,C4869B,02240255,2015-11-03,2017-12-31,2019-07-18
988b691b-eec7-4073-b188-4e8c6ad10db1,7431000087103,C4673AE,02240255,2015-11-05,2016-11-30,2019-07-18
ef0da917-6fad-4687-af6c-ddc728795ca4,7431000087103,C4677AD,02240255,2015-11-05,2017-06-30,2019-07-18
46589a36-59b2-4570-b3ac-2fc46d5edaf6,7431000087103,C4797A,02240255,2015-11-06,2017-08-31,2019-07-18
8656632e-cf13-4b4f-b296-605b3eefbfc5,7431000087103,C4960A,02240255,2015-11-12,2018-02-28,2019-07-18
dbfcd1e3-288f-41ae-8ca0-a59b46b152fd,7431000087103,C4934A,02240255,2015-11-12,2018-02-28,2019-07-18
b96a3ad2-3342-4b9f-ad93-030903cd00f4,7431000087103,C4800A,02240255,2015-11-27,2017-08-31,2019-07-18
e68d3ae9-705f-4a35-ac38-1277712b8397,7431000087103,C4800B,02240255,2015-11-27,2017-08-31,2019-07-18
2415d196-c810-482b-8487-491a289cd971,7431000087103,C4932A,02240255,2015-12-01,2018-01-31,2019-07-18
478d21cc-3e8d-4d55-911c-9c5282866e6e,7431000087103,C4933A,02240255,2015-12-11,2018-02-28,2019-07-18
d9d6b8c9-d490-4e6a-a0cd-b192ae0b81f9,7431000087103,C5015A,02240255,2015-12-22,2018-07-31,2019-07-18
5c48f70b-dcfd-4db0-897b-5495c2a88e91,7431000087103,C4675AE,02240255,2016-01-22,2016-11-30,2019-07-18
92411ae4-9450-4d7b-949b-4334545eae76,7431000087103,C5003A,02240255,2016-04-25,2018-06-30,2019-07-18
88626d11-6ef9-4d68-94b0-79cc24441e32,7431000087103,C5003B,02240255,2016-04-25,2018-06-30,2019-07-18
