Concept Code,Concept Name,Display Name (en),Display Name (fr),Status,Definition,Last Updated
female,Female,Female,femme,active,Female,18/07/2019
male,Male,Male,homme,active,Male,18/07/2019
other,Other,Other,autre,active,Other - used for messaging only,18/07/2019
unknown,Unknown,Unknown,inconnu,active,Unknown - the gender of the client is not known; required for FHIR specifications,18/07/2019
